key,invariant,ko-KR,nl-NL,zh-CN
AudioAlbum,Audio Album,오디오 앨범,Audio Album,音频专辑
AudioAlbumArtists,Audio Album Artists,오디오 앨범 아티스트,Audio Album Artiest,音频专辑艺术家
AudioComposers,Audio Composers,오디오 작곡가,Audio Componist,音频作曲家
AudioPerformers,Audio Performers,오디오 가수,Audio Uitvoerende,音频表演者
AudioCopyright,Audio Copyright,오디오 저작권,Audio Auteursrecht,音频版权
AudioDisc,Audio Disc,오디오 디스크,Audio Schijf,音频光盘
AudioDiscCount,Audio Disc Count,오디오 디스크 수,Audio Schijf nummer,音频光盘数量
AudioGenres,Audio Genre,오디오 장르,Audio Genre,音频类型
AudioTitle,Audio Title,오디오 제목,Audio Titel,音频标题
AudioTrack,Audio Track,오디오 트랙,Audio Spoor,音频曲目
AudioTrackCount,Audio Track Count,오디오 트랙 수,Audio Spoor nummer,音频轨道数量
AudioConductor,Audio Conductor,오디오 지휘자,Audio Dirigent,音频导体
AudioYear,Audio Year,오디오 연도,Audio Jaar,音频年代
AudioDuration,Audio Duration,오디오 길이,Audio Duur,音频持续时间
VideoTitle,Video Title,비디오 제목,Video Titel,视频标题
VideoDuration,Video Duration,비디오 길이,Video Duur,视频持续时间
VideoWidth,Video Width,비디오 가로 크기,Video Breedte,视频宽度
VideoHeight,Video Height,비디오 세로 크기,Video Hoogte,视频高度
VideoCodec,Video Codec,비디오 코덱,Video Codec,视频编解码器
VideoGenres,Video Genre,비디오 장르,Video Genre,视频类型
VideoYear,Video Year,비디오 연도,Video Jaar,视频年代
VideoCopyright,Video Copyright,비디오 저작권,Video Auteursrecht,视频版权
ImageWidth,Image Width,이미지 가로 크기,Afbeelding Breedte,图像宽度
ImageHeight,Image Height,이미지 세로 크기,Afbeelding Hoogte,图像高度
ImageCodec,Image Codec,이미지 코덱,Afbeelding Codec,图像编解码器
ImageQuality,Image Quality,이미지 품질,Afbeelding Kwaliteit,图像质量
Title,Title,문서 제목,Titel,标题
Author,Author,문서 작성자,Auteur,作者
MD5,MD5,MD5,MD5,MD5
SHA1,SHA1,SHA1,SHA1,SHA1
SHA256,SHA256,SHA256,SHA256,SHA256
SHA384,SHA384,SHA384,SHA384,SHA384
SHA512,SHA512,SHA512,SHA512,SHA512
CommitId,Commit ID,커밋 ID,Commit ID,提交 ID
ShortCommitId,Short Commit ID,짧은 커밋 ID,Short Commit ID,短提交 ID
BranchName,Current branch,현재 브랜치,Current branch,当前分支
CommitCount,Commit count for Current branch,현재 브랜치 커밋 수,Commit count for Current branch,当前分支的提交计数
DragAndDrop_DirectoryQuestion,The file paths contain one or more directory(s).,드래그 앤 드롭 한 파일 중에 폴더가 있습니다.,De bestandspaden bevatten een of meer map(pen).,文件路径包含一个或多个目录。
DragAndDrop_DirectoryQuestionDescription,Add to Directory mode or iterate files? Directory mode can edit directory name.,해당 폴더를 디렉토리 모드로 추가하시겠습니까? 또는 폴더 내 파일을 추가하시겠습니까?\n디렉토리 모드로 추가된 폴더는 폴더명을 편집할 수 있습니다.,Bestanden toevoegen als map of apart? De map-modus kan de mapnaam bewerken.,添加到目录模式或迭代文件？ 目录模式可以编辑目录名称。
DragAndDrop_ButtonAddDirectory,Add folder,폴더 추가,Map toevoegen,添加文件夹
DragAndDrop_ButtonIterateFiles,Add files from folder,폴더 내 파일 추가,Bestanden van map toevoegen,从文件夹添加文件
DragAndDrop_DrbQuestion,It looks like you're probably adding a DaramRenamer batch file.,아마도 다람리네이머 배치 파일을 추가하는 것 같습니다.,,看起来您可能正在添加 DaramRenamer 批处理文件。
DragAndDrop_DrbQuestionDescription,"Do you want to execute batch file(s)? When execute, DRB files will not be added to the list.",배치 파일을 실행 하시겠습니까? 실행하면 DRB 파일은 목록에 추가되지 않습니다.,,您是否要执行批处理文件？执行时，DRB 文件将不会添加到列表中。
DragAndDrop_ButtonExecuteDRB,Execute Batch files,배치 파일 실행,,执行批处理文件
DragAndDrop_ButtonJustAddDRB,Just Add Batch files,그냥 목록에 추가,,仅添加批处理文件
BatchWindow_Title,Batch Commands Processor,명령 일괄처리기,Groepsopdrachtenverwerker,批处理命令处理器
BatchWindow_Remove,_Remove,제거(_R),_Verwijderen,移除(_R)
BatchWindow_Close,_Close,닫기(_C),_Sluiten,关闭(_C)
BatchWindow_LoadFile,Load from,불러오기,Laden van,加载从
BatchWindow_SaveFile,Save to,저장하기,Opslaan als,保存到
BatchWindow_DoBatch,Do Batch,일괄처리,Groepsopdracht uitvoeren,做批处理
BatchWindow_Command,Command,명령,Opdracht,命令
BatchWindow_Condition,Condition,조건,Conditie,状态
BatchWindow_File_Filter,DaramRenamer Batch File(*.drb)|*.drb,다람리네이머 일괄처리 파일(*.drb)|*.drb,DaramRenamer Batch-bestand (*.drb)|*.drb,DaramRenamer 批处理文件(*.drb)|*.drb
